domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
noaasis.noaa.gov,3809,4571,3809,1.200052507,213.0049882,2285
rma.usda.gov,59422,147793,17522,2.487176467,212.229999,60945
itdashboard.gov,6856,76182,6095,11.11172695,211.3443699,6856
search.noaa.gov,6095,15998,4571,2.624774405,210.8592289,6095
fra.dot.gov,52565,138651,36567,2.637705698,210.3350328,53327
tricare.mil,1232621,4599094,846380,3.731150126,210.0160852,1229574
maps.waterdata.usgs.gov,12951,38091,17522,2.941162845,209.3513242,12951
mshasearch.msha.gov,7618,15236,6095,2,209.2049094,6095
educationusa.state.gov,58660,125700,55613,2.142857143,208.3505285,57136
census.gov,2329639,7523712,1658477,3.229561318,208.3465988,2323544
fs.usda.gov,908849,2977184,674971,3.275774083,208.0351037,908087
forfeiture.gov,6095,22093,4571,3.624774405,207.6093519,6095
osce.usmission.gov,1524,8380,1524,5.498687664,207.4501312,1524
ke.usembassy.gov,36567,100560,23616,2.75002051,207.0222605,35805
era.nih.gov,59422,159982,38853,2.692302514,206.9351419,60945
calc.gsa.gov,12951,16760,5333,1.294108563,206.64551,12189
nicic.gov,31996,64755,19045,2.023846731,206.2164958,31996
oig.dol.gov,4571,15998,6856,3.499890615,206.1625465,6095
miami.jobcorps.gov,2285,3047,2285,1.333479212,206.0407002,1524
armynursecorps.amedd.army.mil,6095,7618,2285,1.249876948,205.9845775,5333
atf.gov,356531,1499257,261303,4.205123818,205.8758958,356531
ec.usembassy.gov,65516,182836,48756,2.790707613,204.9544997,66278
rd.usda.gov,432712,1301947,285682,3.008807244,204.8910684,456329
nwbc.gov,5333,15998,4571,2.999812488,204.7037315,5333
spokane.va.gov,6856,14475,6095,2.111289382,204.6773629,6856
visn4.va.gov,6095,9142,6856,1.499917966,204.6096801,5333
sba.gov,1944159,6883785,1455072,3.540752068,204.1814111,1931970
prodpx-promotool.usps.com,9904,15998,9904,1.615306947,203.9154887,6856
globalchange.gov,23616,45709,19807,1.935509824,203.90625,23616
womenshealth.va.gov,6856,16760,8380,2.444574096,203.8996499,9142
zh-tools.usps.com,35044,53327,16760,1.521715558,203.82385,31235
hr.usembassy.gov,10665,51042,8380,4.785935302,203.5800281,10665
iri.gsfc.nasa.gov,4571,6095,2285,1.333406257,202.9958434,3809
smart.gov,6095,11427,5333,1.874815422,202.7347006,6095
cfpub.epa.gov,86847,325296,102845,3.74562161,200.974196,89894
nasa3d.arc.nasa.gov,14475,51804,14475,3.578860104,200.7304318,13713
spaceplace.nasa.gov,198834,844094,200358,4.24521963,199.8931521,218642
cpars.gov,52565,86085,32758,1.637686674,199.2769714,52565
travel.state.gov,12792443,31007505,8258866,2.423892371,198.9607612,12951663
ircalc.usps.com,383194,3191254,423571,8.328037495,198.9246204,502038
disasterassistance.gov,143984,284158,78467,1.973538727,198.7401239,143984
st.nmfs.noaa.gov,12951,22093,12951,1.705891437,198.3514014,9904
caweb.sba.gov,44947,148554,12189,3.305092665,198.1197188,44947
digitalgov.gov,28949,47995,20569,1.657915645,198.0531279,28187
ovcttac.gov,22855,69325,13713,3.033253117,197.8626121,19045
internal.usgs.gov,31996,47233,6095,1.476215777,197.6211714,31235
opm.gov,4365977,14438732,2773778,3.307102168,197.4844027,4365977
ssa.gov,14876015,41968539,8842418,2.82122188,197.4047714,14850875
federalreporter.nih.gov,10665,32758,1524,3.071542429,196.8654477,9904
hearing.health.mil,3047,6856,1524,2.250082048,196.7676403,3047
in.gov,28187,69325,20569,2.45946713,196.7585412,26664
by.usembassy.gov,28187,74658,19807,2.648667826,195.8936744,28187
disc.gsfc.nasa.gov,13713,22855,11427,1.666666667,195.8848538,11427
yosemite.epa.gov,49518,190454,21331,3.846156953,195.7544529,51042
nlrb.gov,100560,396907,76182,3.946966985,195.7347355,95227
vehiclehistory.gov,74658,157696,68564,2.112245171,195.6228134,73896
smartpay.gsa.gov,35044,79229,29711,2.260843511,195.541348,36567
dhs.usajobs.gov,68564,248353,57136,3.622206989,195.187737,70849
ncdc.noaa.gov,429665,1704186,332914,3.966313291,195.1454808,424332
dvlottery.state.gov,548509,2843866,335962,5.184720761,195.1026948,552318
xk.usembassy.gov,25902,62469,16760,2.411744267,194.5867501,25902
vn.usembassy.gov,104369,276540,67802,2.649637344,194.5766942,101322
opm.usajobs.gov,1524,17522,2285,11.49737533,194.4534121,1524
coralreef.noaa.gov,4571,12951,5333,2.833296872,194.3292496,4571
webbook.nist.gov,297871,1244810,203405,4.179023806,194.1711815,302442
developer.uspto.gov,6095,26664,2285,4.374733388,194.1104184,6856
nwfsc.noaa.gov,11427,16760,10665,1.466701671,193.8044981,12189
maryland.va.gov,12189,25140,12951,2.062515383,193.7513332,13713
www3.epa.gov,548509,1669904,486802,3.044442297,193.6235285,520322
lewis-mcchord.army.mil,68564,105893,31996,1.544440231,193.621084,68564
nccd.cdc.gov,214071,756485,178265,3.533804205,193.5371722,230831
niem.gov,1524,6856,1524,4.498687664,193.4534121,1524
cybercareers.gov,16760,42662,14475,2.545465394,193.3180788,16760
sa.usembassy.gov,54851,130271,31996,2.374997721,193.2356748,53327
hab.hrsa.gov,22855,48756,19807,2.133274995,192.9960621,25902
uy.usembassy.gov,38853,110464,18284,2.843126657,192.9789205,39615
diplomacy.state.gov,31235,69325,30473,2.219465343,192.8751401,26664
portland.va.gov,35044,65516,23616,1.869535441,192.8674523,36567
carbon.nasa.gov,8380,25140,1524,3,192.8180191,6856
my.usembassy.gov,20569,53327,16760,2.592590792,191.8896397,20569
polytrauma.va.gov,6856,7618,7618,1.111143524,191.4544924,6095
web.nvd.nist.gov,172171,485278,121129,2.818581527,191.3714679,172933
rw.usembassy.gov,2285,9904,2285,4.334354486,191.0380744,2285
armycivilianservice.usajobs.gov,53327,292538,20569,5.485738931,190.9151462,53327
jo.usembassy.gov,52565,148554,28187,2.826101018,190.3348616,52565
section508.va.gov,8380,52565,9142,6.272673031,190.0908115,9142
lhncbc.nlm.nih.gov,1524,9904,1524,6.498687664,189.9547244,1524
eg.usembassy.gov,97513,225498,29711,2.312491668,189.8040466,99036
cns.usps.com,4945721,13059841,1388794,2.640634399,189.5551344,5200168
uz.usembassy.gov,8380,22855,6856,2.727326969,189.1817422,8380
media.wr.usgs.gov,2285,3047,762,1.333479212,189.0376368,2285
elpaso.va.gov,6095,14475,6095,2.374897457,188.6108285,6856
newjersey.va.gov,18284,57136,14475,3.124917961,188.3711442,19807
images.nasa.gov,8380,40376,25140,4.818138425,188.0908115,16760
egov.uscis.gov,4732412,23256772,1877119,4.914359105,187.9864684,5918562
labornet.dol.gov,38091,113511,13713,2.979995274,187.6994303,40376
bigspring.va.gov,4571,22093,3047,4.833296872,187.1627653,5333
imls.gov,12951,31235,10665,2.411782874,187.0573701,12951
federallabs.org,3809,12951,2285,3.400105014,187.0044631,3809
beta.foreignassistance.gov,13713,54089,12951,3.944359367,186.7739371,13713
vacanteen.va.gov,31996,75420,25140,2.357169646,186.5734467,31996
vacareers.va.gov,353483,1986059,287205,5.618541769,186.4420354,393098
healthymeals.fns.usda.gov,15236,33520,19045,2.200052507,185.6042925,16760
assignment.uspto.gov,27425,38853,24378,1.416700091,185.5307566,27425
ro.usembassy.gov,13713,22855,8380,1.666666667,185.2184059,12189
nrc.gov,237687,806765,156173,3.394232751,185.1251015,238449
ie.usembassy.gov,41138,115034,27425,2.796295396,184.8895911,41138
findit.ed.gov,77705,236163,67802,3.039225275,184.7166592,76944
search.nih.gov,95989,201882,68564,2.103178489,184.579431,90656
pueblo.gpo.gov,5333,17522,5333,3.285580349,184.5619726,5333
usdasearch.usda.gov,144745,265113,96751,1.831586583,184.4899444,137127
saturn.jpl.nasa.gov,110464,281873,95227,2.551718207,184.1441103,106654
ocio.usda.gov,5333,9142,5333,1.71423214,184.1333208,6095
atf.usajobs.gov,1524,9904,762,6.498687664,183.9560367,1524
benefits.va.gov,2034053,5374624,1447454,2.642322496,183.8187584,2198606
sti.nasa.gov,6095,14475,5333,2.374897457,183.2362592,6095
buffalo.va.gov,12189,25140,9904,2.062515383,183.063746,12189
yaounde.usembassy.gov,6856,12189,1524,1.77785881,182.5651984,7618
ethics.usda.gov,3809,3809,3809,1,182.4043056,2285
cms.fmcsa.dot.gov,78467,202644,50280,2.582537882,182.1558617,66278
nro.gov,8380,21331,7618,2.545465394,181.9998807,8380
portal.hud.gov,2168895,5159792,1417743,2.378995756,181.7790732,2165086
uscirf.gov,6095,12189,4571,1.999835931,181.6113208,6095
ngdc.noaa.gov,122653,607169,90656,4.95029881,181.3907935,124176
kz.usembassy.gov,23616,63231,16760,2.677464431,180.9381775,21331
comptroller.defense.gov,56375,85324,26664,1.513507761,180.0524878,55613
gapanalysis.usgs.gov,2285,3047,2285,1.333479212,180.0358862,2285
aom.giss.nasa.gov,1524,3047,762,1.999343832,179.9566929,1524
blog.epa.gov,39615,105131,38091,2.653817998,179.7286129,38853
dod.usajobs.gov,19807,102845,14475,5.192356238,179.5023477,21331
pe.usps.gov,302442,874567,166076,2.891685017,179.4985286,299394
iaspub.epa.gov,54089,234640,56375,4.33803546,179.2818873,58660
hudsonvalley.va.gov,3809,9904,3047,2.600157522,179.2042531,3809
esrl.noaa.gov,81514,209500,44947,2.570110656,178.7394067,81514
kr.usembassy.gov,83800,245305,47995,2.927267303,178.6726253,85324
constitutionday.cpms.osd.mil,6095,12951,4571,2.12485644,178.6116489,6095
presidentialtransition.usa.gov,7618,16760,6095,2.200052507,178.5042006,7618
state.usajobs.gov,38091,106654,22093,2.799978998,178.4394739,36567
jwst.nasa.gov,50280,114273,37329,2.272732697,178.3332339,50280
education.usgs.gov,17522,25140,15236,1.434767721,178.3024198,17522
nebraska.va.gov,17522,38091,15236,2.173895674,178.2589316,17522
jobs.cdc.gov,88371,267398,61707,3.025856899,178.2324745,92942
studentaid.ed.gov,3767189,8215442,2945949,2.180788381,178.0936154,3807565
go4life.nia.nih.gov,36567,140174,33520,3.833347007,178.0012306,35044
bop.gov,1293567,4247896,829620,3.283862374,177.2461048,1292043
aloha.gsa.gov,34282,45709,9904,1.33332361,177.243393,31996
auth.cdc.gov,108178,339771,31235,3.14085119,176.0494925,116558
secure.rrb.gov,108940,427380,51804,3.923076923,175.9159813,108940
ca.usembassy.gov,121129,359578,94465,2.968554186,175.64783,119605
eclkc.ohs.acf.hhs.gov,197311,726012,153887,3.679531298,175.5712454,202644
ushik.ahrq.gov,12189,22093,9904,1.812535893,175.5011896,12189
hcupnet-archive.ahrq.gov,9142,141698,762,15.49967184,175.3297965,9142
veterantraining.va.gov,4571,8380,5333,1.833296872,175.162984,3047
va.gov,3239249,6771036,2034053,2.090310439,175.1488712,2816440
exoplanets.nasa.gov,20569,120367,21331,5.851864456,174.8154991,25140
donate.peacecorps.gov,5333,12189,4571,2.285580349,174.7052316,6095
dotgov.gov,4571,12951,3809,2.833296872,174.4963903,4571
saginaw.va.gov,8380,16760,6095,2,174.4544153,7618
dailymed.nlm.nih.gov,783910,1632575,485278,2.082605146,174.0914505,786196
ci.usembassy.gov,14475,43424,9142,2.999930915,174.0470466,11427
nsf.gov,788481,2242030,515751,2.843480058,173.0213334,787720
account.uspto.gov,1524,3047,1524,1.999343832,172.9586614,1524
exchanges.state.gov,105893,400716,95989,3.784159482,172.4383009,108940
tr.usembassy.gov,154649,453282,97513,2.931037381,172.2955661,150078
fresc.usgs.gov,3047,6095,2285,2.000328192,172.2651789,3047
postcalc.usps.com,2115568,9179142,1663048,4.338854624,171.7576396,2286977
search.treasury.gov,9142,152364,55613,16.66637497,170.9131481,52565
americanenglish.state.gov,54851,224736,55613,4.097208802,170.874624,53327
climate.nasa.gov,482231,937798,397669,1.944706997,170.7455224,486802
centraltexas.va.gov,59422,93704,15236,1.576924371,170.5506546,57898
healthit.gov,198834,466232,144745,2.344830361,170.4218242,198073
careers.state.gov,342818,878376,281111,2.56222252,170.3822116,363387
spanish.panama.usembassy.gov,3047,6856,3047,2.250082048,170.0150968,3047
usability.gov,105893,255209,73135,2.410064877,169.9922658,106654
cpol.army.mil,513465,822001,129509,1.600890031,169.5668157,513465
niehs.nih.gov,118082,256733,102845,2.17419251,169.3738334,118082
aviris.jpl.nasa.gov,9904,51804,3047,5.230613893,169.3013934,11427
washingtondc.va.gov,22855,42662,18284,1.866637497,169.2631809,22855
oalj.dol.gov,6095,23616,9142,3.874651354,168.9873667,6856
faa.gov,1951777,5327391,1277568,2.729508033,168.9691676,1951015
hoover.archives.gov,18284,90656,16760,4.958214833,168.7048786,19045
feedthefuture.gov,23616,61707,17522,2.612931911,168.5508977,22855
ustda.gov,11427,32758,6856,2.866719174,167.9372539,11427
studyabroad.state.gov,3047,24378,3047,8.000656383,166.7646866,3809
safetydata.fra.dot.gov,10665,44947,7618,4.214439756,166.5784341,10665
iris.custhelp.com,209500,841047,154649,4.014544153,166.5017184,207976
apps.export.gov,6095,20569,6856,3.374733388,166.4874487,7618
sanctuaries.noaa.gov,19045,43424,17522,2.28007351,166.163875,19045
it.usembassy.gov,86847,271207,63231,3.122813684,166.0355107,86085
dodhrinfo.cpms.osd.mil,3809,9904,2285,2.600157522,166.003938,3809
wwwcf.nlm.nih.gov,1524,2285,762,1.499343832,165.9599738,1524
indianaffairs.gov,19045,44947,12189,2.360042006,165.8038855,18284
cz.usembassy.gov,27425,55613,15236,2.027821331,165.5859982,28187
gy.usembassy.gov,11427,25902,6095,2.266736676,165.3371839,11427
fayettevillenc.va.gov,9142,21331,9904,2.333296872,164.9966091,11427
tidesandcurrents.noaa.gov,332153,1077972,225498,3.24540799,164.8529774,332914
losangeles.va.gov,12189,27425,12951,2.24997949,164.8136024,14475
nhsc.hrsa.gov,77705,207976,66278,2.676481565,164.5400811,79991
jp.usembassy.gov,336723,768674,223213,2.282808124,164.2355081,329105
de.usembassy.gov,214071,597265,130271,2.790032279,164.0211846,204167
floridakeys.noaa.gov,16760,58660,14475,3.5,163.9090095,16760
realestatesales.gov,15998,182836,15236,11.42867858,163.9065508,15998
ngmdb.usgs.gov,51804,114273,15998,2.205872133,163.8811096,50280
irs.gov,35387196,102325073,19104865,2.891584657,163.8245443,35420716
volunteer.va.gov,20569,64755,21331,3.148184161,163.8154504,27425
overseasbuildings.state.gov,2285,6095,2285,2.667396061,163.6993435,2285
ch.usembassy.gov,22093,57136,20569,2.586158512,163.6530575,24378
pl.usembassy.gov,70849,180551,55613,2.54839165,163.526994,70087
sandiego.va.gov,15998,33520,12951,2.095261908,163.4303038,18284
fda.gov,5442426,12387918,3966785,2.276175735,163.3924939,5146841
ctip.defense.gov,4571,22093,3809,4.833296872,163.3299059,4571
sealevel.nasa.gov,3809,7618,3809,2,163.203728,3809
kh.usembassy.gov,39615,81514,10665,2.057654929,163.1710968,40376
lambda.gsfc.nasa.gov,4571,9904,3809,2.166703128,163.1634216,4571
pbm.va.gov,56375,173694,49518,3.081046563,162.8499512,60184
aawu.arh.noaa.gov,61707,291776,22093,4.728410067,162.6426013,61707
nij.gov,148554,294823,124176,1.984618388,162.4722929,148554
bsgsra.hq.nasa.gov,1524,6095,1524,3.999343832,162.4612861,1524
ogc.commerce.gov,2285,38091,3047,16.67002188,162.3654267,2285
portal.fmcsa.dot.gov,214833,527178,54851,2.453896748,162.0883523,224736
poplarbluff.va.gov,8380,28949,7618,3.454534606,161.9998807,9142
ge.usembassy.gov,17522,52565,12189,2.999942929,161.9547426,19045
northerncalifornia.va.gov,14475,44947,12189,3.105146805,161.7316753,15998
cbp.gov,2794347,8402088,2104141,3.006816262,161.6911382,2786729
dea.usajobs.gov,4571,40376,4571,8.833078101,161.4966091,3809
ifap.ed.gov,98274,270445,46471,2.751948633,161.4349065,93704
