domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
govbenefits.gov,1524,1524,1524,1,0,1524
healthreach.nlm.nih.gov,1524,1524,1524,1,0,1524
huberthhumphrey.jobcorps.gov,1524,1524,1524,1,0,1524
human-factors.arc.nasa.gov,1524,1524,762,1,0,1524
idmanagement.gov,1524,1524,1524,1,0,1524
idp.demo.login.gov,1524,1524,762,1,0,1524
ilrs.cddis.eosdis.nasa.gov,1524,1524,1524,1,0,1524
international.noaa.gov,1524,1524,1524,1,0,1524
intranet.epa.gov,1524,3047,1524,1.999343832,0,1524
juvenilecouncil.gov,1524,1524,1524,1,0,1524
labs.usa.gov,1524,1524,762,1,0,1524
landcover.usgs.gov,1524,1524,1524,1,0,1524
losangeles.jobcorps.gov,1524,1524,1524,1,0,1524
m.cameochemicals.noaa.gov,1524,1524,1524,1,0,1524
map.usaid.gov,1524,1524,762,1,0,1524
mms.gsfc.nasa.gov,1524,1524,1524,1,0,1524
modelingguru.nasa.gov,1524,1524,1524,1,0,1524
na.usembassy.gov,1524,1524,1524,1,0,1524
nacarbon.org,1524,1524,762,1,0,1524
neglecteddiseases.gov,1524,1524,1524,1,0,1524
ny.water.usgs.gov,1524,2285,1524,1.499343832,0,1524
oco.jpl.nasa.gov,1524,1524,762,1,0,1524
open.defense.gov,1524,1524,1524,1,0,1524
osp.va.gov,1524,4571,3809,2.999343832,0,3809
patriotbonds.gov,1524,1524,1524,1,0,1524
poes.gsfc.nasa.gov,1524,1524,1524,1,0,1524
preview.ed.gov,1524,7618,762,4.998687664,0,3809
rapidrefresh.noaa.gov,1524,1524,1524,1,0,1524
reverseauctions.gsa.gov,1524,3047,762,1.999343832,0,1524
rmgsc.cr.usgs.gov,1524,1524,762,1,0,1524
sbir.nih.gov,1524,3047,2285,1.999343832,0,2285
see.msfc.nasa.gov,1524,1524,1524,1,0,1524
sefsc.noaa.gov,1524,13713,762,8.998031496,0,1524
services.nationalmap.gov,1524,1524,1524,1,0,1524
sites.usa.gov,1524,1524,1524,1,0,1524
soho.nascom.nasa.gov,1524,1524,762,1,0,1524
southbronx.jobcorps.gov,1524,1524,762,1,0,1524
sy.usembassy.gov,1524,1524,1524,1,0,1524
treasureisland.jobcorps.gov,1524,1524,1524,1,0,1524
treasuryscams.gov,1524,1524,1524,1,0,1524
tsunami.csc.noaa.gov,1524,1524,762,1,0,1524
tsunamiready.noaa.gov,1524,1524,1524,1,0,1524
universe.nasa.gov,1524,1524,1524,1,0,1524
vetopportunities.amedd.army.mil,1524,1524,1524,1,0,1524
visn21.va.gov,1524,1524,762,1,0,1524
wcms-wp-stage.cdc.gov,1524,1524,1524,1,0,1524
woodstock.jobcorps.gov,1524,3047,3047,1.999343832,0,3047
